# Journal Data Filtered By:  Selected JCR Year: 2016 Selected Editions: SCIE,SSCI Selected Categories: 'BIODIVERSITY%20CONSERVATION','BIOLOGY','ECOLOGY','ENTOMOLOGY','EVOLUTIONARY%20BIOLOGY','ORNITHOLOGY','ZOOLOGY' Selected Category Scheme: WoS
# Copyright © 2017 Clarivate Analytics
Rank;Full.Journal.Title;JCR.Abbreviated.Title;Total.Cites;Journal.Impact.Factor;Impact.Factor.without.Journal.Self.Cites;Citable.Items;Eigenfactor.Score;X..Articles.in.Citable.Items
511;HERPETOZOA;HERPETOZOA;174;1.194;0.968;12;0.00023;100
511;Physics of Life Reviews;PHYS LIFE REV;1327;13.84;13;12;0.00318;0
511;RUSSIAN JOURNAL OF NEMATOLOGY;RUSS J NEMATOL;171;0.533;0.4;12;0.00023;100
515;Asian Myrmecology;ASIAN MYRMECOL;103;0.8;0.6;11;0.00026;100
515;NEW ZEALAND ENTOMOLOGIST;NZ ENTOMOL;172;0.517;0.483;11;0.00016;90.91
517;AFRICAN INVERTEBRATES;AFR INVERTEBR;232;0.622;0.581;10;0.00055;90
517;BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY;B AM MUS NAT HIST;2684;4.562;4.5;10;0.00168;100
517;Nature Conservation-Bulgaria;NAT CONSERV-BULGARIA;111;1.355;1.29;10;0.00057;90
520;AFRICAN JOURNAL OF HERPETOLOGY;AFR J HERPETOL;129;0.5;0.5;9;0.00018;88.89
520;CARIBBEAN JOURNAL OF SCIENCE;CARIBB J SCI;532;0.2;0.15;9;8e-05;100
522;EKOLOJI;EKOLOJI;251;0.516;0.516;8;0.00039;100
522;HUMAN BIOLOGY;HUM BIOL;1809;0.825;0.825;8;0.00108;100
524;CALIFORNIA FISH AND GAME;CALIF FISH GAME;311;0.219;0.203;7;0.00019;100
525;Advances in Ecological Research;ADV ECOL RES;1850;5.056;4.389;6;0.00184;0
525;HERPETOLOGICAL MONOGRAPHS;HERPETOL MONOGR;379;2.5;2.5;6;0.00029;83.33
525;PROCEEDINGS OF THE LINNEAN SOCIETY OF NEW SOUTH WALES;P LINN SOC N S W;601;0.25;0.25;6;0.00015;100
525;URSUS;URSUS;505;1.094;0.969;6;0.00047;100
529;ECOSCIENCE;ECOSCIENCE;1697;0.688;0.688;4;0.00105;100
530;WILDLIFE MONOGRAPHS;WILDLIFE MONOGR;697;5.75;5.75;3;0.00052;100
531;African Natural History;AFR NAT HIST;29;0.4;0.4;2;5e-05;100
532;ACTA THERIOLOGICA;ACTA THERIOL;1302;0.968;0.968;0;0.0011;NA
532;BIOCELL;BIOCELL;286;0.259;0.259;0;0.00016;NA
532;BULLETIN MENSUEL DE LA SOCIETE LINNEENNE DE LYON;B MENS SOC LINN LYON;112;0.014;0.014;0;1e-05;NA
532;Central European Journal of Biology;CENT EUR J BIOL;744;1.016;1.016;0;0.00167;NA
532;FORKTAIL;FORKTAIL;82;0.064;0.064;0;0.00012;NA
532;PACHYDERM;PACHYDERM;143;0.938;0.938;0;0.00034;NA
532;PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA;P ACAD NAT SCI PHILA;1164;0.76;0.76;0;0.00014;NA
532;PROCEEDINGS OF THE BIOLOGICAL SOCIETY OF WASHINGTON;P BIOL SOC WASH;1269;0.667;0.667;0;0.00052;NA
532;REVUE D ECOLOGIE-LA TERRE ET LA VIE;REV ECOL-TERRE VIE;272;0.136;0.136;0;0.00013;NA
532;SOUTH AFRICAN JOURNAL OF WILDLIFE RESEARCH;S AFR J WILDL RES;445;1.143;1.143;0;0.00036;NA
532;Theoretical Biology Forum;THEOR BIOL FORUM;23;0.421;0.421;0;7e-05;NA
532;VELIGER;VELIGER;549;0.125;0.125;0;4e-05;NA
532;ZOOLOGICAL STUDIES;ZOOL STUD;1175;1.008;1.008;0;0.00203;NA
